,ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
221078,NAWP7DV6,1,27,7,2,1,21,2,1357712,0,0
111300,EXNDSHSZ,1,49,28,3,4,13,2,486616,1,0
98188,PHPFAGBT,0,55,27,3,3,111,1,1315428,1,0
199876,HXGQAAM9,1,60,34,3,3,103,0,986591,1,1
218380,HFGBP9PT,0,46,24,3,3,111,2,884170,1,0
197333,4DXZGDFD,1,73,1,4,2,69,0,902967,0,0
200822,CKGNSGM8,1,50,19,3,2,38,2,1380808,1,0
94362,TWPGOHFP,1,49,33,3,2,75,2,1265250,0,0
198880,O47THFTU,0,30,27,2,1,19,2,832781,0,0
235371,XUDQNXCR,1,45,34,3,2,19,1,843604,0,1
49723,4BLBFQHG,0,28,4,2,1,19,2,1314521,0,0
202107,BB8ZZNT7,1,48,13,3,2,20,2,366617,1,0
123297,MPJYTNNE,1,27,23,2,1,15,2,1073713,0,0
46821,KHVCAECL,0,29,30,2,1,21,2,197001,0,0
132202,CZHN6GN8,0,41,19,3,2,19,2,626996,1,0
653,TASDUYCN,1,40,25,3,1,26,2,1559885,0,0
29035,CACWTBUC,1,48,18,3,3,98,0,1701030,0,1
119388,B53PQCP8,0,49,33,3,1,20,2,1095563,1,0
33994,9U6ZIYHS,1,42,18,3,3,110,2,1545200,1,0
9362,U4XSWZ2E,0,44,18,2,1,67,0,615888,1,1
199991,STNYN6DG,1,28,6,4,1,25,2,398533,0,0
101512,GDTZ6GVT,1,27,24,2,1,19,1,953688,0,0
135603,QYTCXDKJ,1,48,0,4,2,99,1,407059,0,0
206,NEXRCCVK,1,56,16,3,3,85,2,499770,1,1
200823,KGYAZXEQ,0,32,6,2,1,32,2,766663,1,0
237381,MHCZX72I,0,44,2,4,3,49,2,764483,0,0
96127,WSUYFZ5O,1,48,33,3,3,55,2,948170,0,0
64824,BW2RGOBG,0,32,27,4,1,31,2,343824,0,0
16085,NAGBA4FH,0,26,27,2,1,19,2,982319,0,0
210883,3PKXMVD2,1,27,5,2,1,14,1,381195,0,0
163874,HHLZRPI8,0,28,8,2,1,26,2,615034,0,0
197865,Q99ZWR2A,1,48,18,3,2,62,2,1284875,0,0
54448,NNGUCZFH,1,43,27,3,3,19,2,985790,1,0
129866,XAZGEBMD,1,48,27,3,2,67,1,1028030,0,0
26447,QNSSFYUP,0,28,20,2,1,20,2,686724,0,0
28977,2REMJGJ6,1,62,18,4,3,80,1,1956754,0,0
11687,2UNBN8PR,1,59,1,3,2,31,1,610468,1,1
145112,6WPZNFQA,1,42,18,3,2,80,2,2398558,0,0
165877,JQ7BBTDK,1,39,18,3,3,37,1,1245127,1,1
140226,NFVD87EY,0,30,19,2,1,15,2,422483,0,0
217081,GDJBYEFM,0,30,29,3,2,31,2,1144851,1,0
5882,JALEAURF,1,36,7,3,2,19,0,713290,0,1
85300,PHW7CKAZ,0,30,7,2,1,15,2,629924,0,0
18242,FEBLSOVE,1,74,33,4,3,61,1,3114857,0,0
5685,NPHZTSY9,1,55,4,3,2,99,0,1962467,0,1
31749,5FHMD9M7,0,27,20,2,1,14,1,534667,0,1
50562,WLW7ZGHE,1,50,18,3,2,73,2,1727134,1,0
130215,LTKRFZEC,0,27,10,2,1,13,2,576942,0,0
118441,XGJVUQBH,0,50,18,3,3,103,2,1285044,1,0
141549,MC3UEBSW,0,32,33,3,2,15,1,735718,0,0
121344,MVLVWCU5,0,30,11,2,3,19,2,565603,0,0
14903,CGERWWPZ,0,39,26,3,2,19,2,268797,1,0
27851,8QJCEOVH,1,29,33,3,1,31,1,1618981,0,1
41948,QBVDQC45,1,51,18,3,3,98,0,1263880,0,1
87529,UICUAVJN,0,53,34,3,3,93,0,2840470,1,1
77390,7GAICF5Z,0,30,1,2,1,26,2,393353,0,0
101496,EZVAGMKU,0,32,22,4,3,37,2,697938,1,0
176036,QDZUP8X2,1,52,18,1,3,111,1,767064,0,0
9847,TH39HUJR,1,52,24,3,3,39,1,948348,1,0
77975,ZJKU2PPM,1,42,4,3,3,27,0,859312,1,1
161787,6UMDMVYT,1,60,30,3,3,104,0,470534,1,1
70603,8VNKX43A,1,37,18,3,3,20,1,664411,1,1
65701,JIZGOFSH,0,40,34,3,3,55,1,1914416,1,0
85432,5SQXLAZQ,0,57,34,3,2,57,2,2079013,0,0
182457,KSKEQPXX,1,56,22,3,3,115,2,558394,1,0
121636,MXINADT5,0,56,34,3,2,69,0,670606,0,1
42809,XWQVWWJ7,0,70,18,4,3,93,2,1227710,1,0
53838,BWLQEZMA,1,48,22,4,3,15,0,1402996,1,0
230148,D2QMWRG6,0,36,23,3,2,7,2,356133,1,0
93089,42PLH9GP,1,74,19,4,3,14,1,682897,0,0
114754,8EHK63LM,0,83,30,4,2,62,2,537471,0,0
240124,86FVADYW,1,31,7,4,1,25,1,336731,0,0
139230,ZTBZKMVC,0,30,33,2,1,31,2,2587194,1,0
88162,HWEYPJET,1,48,18,4,3,69,2,1696429,1,0
144641,G229CDBA,0,51,30,3,3,75,2,703651,0,0
20002,GA7JH6RX,1,44,18,3,4,14,2,773766,1,0
38863,HVWCFKYA,1,52,18,3,3,109,2,1070696,0,0
10455,XB4WFCBW,1,43,34,4,3,103,2,1080878,0,0
206114,ZOV5QYV7,0,30,24,3,1,25,2,2644795,0,0
188395,BKEF8JI7,1,46,24,3,2,69,1,1000867,0,0
108736,BBWJBTWP,1,28,32,4,1,13,2,937641,0,0
141601,GP5FTTAB,0,33,18,3,2,38,2,1984335,1,0
193847,EVB6W42F,0,26,25,2,1,26,1,799273,0,0
44505,D8E6XGJB,1,51,3,4,2,44,0,630885,1,0
8575,ZFURP9XC,1,55,0,3,3,110,2,604488,1,1
9547,AGQ3CYMA,1,46,24,3,1,31,2,739643,0,0
99317,8JZ8EFGW,0,82,32,4,3,75,2,725777,1,0
160370,6JP6FV4R,1,54,4,3,3,115,2,2665843,0,0
49771,6URSD7AZ,1,45,4,3,3,38,2,941264,1,0
149706,CAP7MYKE,0,65,33,4,3,111,1,1815324,0,0
74970,DSHAA5FR,1,33,11,2,1,14,2,586216,0,0
234427,CYPENTCX,0,52,0,4,2,25,1,317578,0,0
83278,C4RXXNOW,1,57,27,3,3,20,0,1118881,1,1
55350,GIFA6PMT,0,63,4,4,3,69,1,2981268,1,0
137160,LJG8SJQC,0,53,33,3,3,117,1,3527354,0,1
74796,FMJE6VQA,1,54,33,3,2,81,1,995055,1,0
66794,YDWUFRSP,1,60,24,3,3,73,2,937152,0,0
77981,BX2HCGEP,0,49,4,3,4,8,0,1168445,0,1
209341,LTRS4PG3,0,63,30,4,2,99,2,649869,1,0
201354,MCVF3ITU,0,29,27,4,1,26,2,298870,0,0
10248,8VOZMKBW,0,28,25,2,1,32,2,648400,0,0
51816,DPJNDFPF,0,29,22,2,1,19,2,982800,1,1
119736,D6WA5YJF,0,50,22,3,3,85,1,609721,1,1
136871,XCJKYCJV,0,24,29,2,1,15,2,682211,1,0
219014,KEGW6OSU,1,50,34,3,2,51,2,1027914,0,0
157364,EJ2SYRRW,1,55,18,3,3,91,1,2067309,0,1
22938,CV8ZQMTI,1,70,29,4,1,43,2,621593,1,0
50063,MSFSGIJJ,0,55,34,3,3,75,2,974843,0,0
140192,32MSFWAB,0,49,1,3,2,38,2,449022,1,0
114703,FBY2T73R,0,42,34,4,1,74,2,780734,1,0
202016,HYY2EDAF,1,29,14,2,1,15,2,724219,0,0
73534,HB43NJZ7,1,53,34,3,3,31,0,1463667,0,0
131765,B4ZXZCGH,0,50,4,3,3,86,1,771202,1,0
212621,EXKCNKZR,0,41,18,3,2,19,1,1299809,0,0
94907,CRVYP6RB,0,31,23,3,1,33,1,1231306,0,0
64657,JNDKWJXX,1,38,5,4,4,15,1,1170358,0,0
67778,MATDFZXG,1,41,24,3,2,15,1,837436,1,1
29952,ZKBKTVRE,1,43,34,3,2,81,2,1422478,0,0
69690,SPCGUSSS,0,45,22,3,4,15,1,290487,0,0
7720,DM5BRGUC,1,47,18,3,3,109,1,1582428,0,0
74882,LRD5WQGK,0,28,7,2,1,13,2,1543046,0,0
53060,KID3AASU,1,28,6,2,1,13,1,679390,0,0
43944,BTVFJMTH,1,57,27,3,1,73,1,2519785,0,1
242539,PATRN5WM,0,56,18,3,2,99,2,568879,0,0
106962,MQXLSVSD,0,44,18,3,2,20,1,682078,0,0
73734,KQZFRM6S,1,71,30,4,2,74,0,1014956,0,1
113538,MZLEFTWA,0,47,23,3,2,56,2,1027006,0,0
154537,9NSDCFAT,0,34,18,4,1,33,2,483990,0,0
21266,TNJKZVF4,1,56,18,4,1,61,0,1086342,0,1
196245,ZJPWRVYZ,1,33,19,2,1,33,2,2094107,0,0
216627,GPBQSFD2,1,39,18,4,3,74,2,697751,0,1
6279,O8WRJWRD,1,32,2,2,1,32,2,438841,0,0
86674,TYSTABPK,0,29,31,2,1,32,2,480208,0,0
226654,9JT7U5GF,1,50,18,3,3,51,1,1175681,1,0
74946,6BYPMKRS,0,29,24,2,1,33,2,944183,0,0
228175,CZTJLHYX,1,43,31,4,2,21,1,962276,0,1
230763,NAD7OCAZ,0,59,4,4,2,86,2,628153,1,0
98785,HNVD4TOV,1,75,18,4,1,75,2,824309,0,0
153799,HSDRDUHJ,1,39,18,3,2,31,2,1525104,1,0
161530,6XXDRMKM,1,56,24,3,3,99,1,821398,1,1
115205,FJVCZWEM,1,43,18,4,3,105,1,396032,0,1
196452,XDBPOG4P,1,52,20,3,3,81,1,338876,0,0
145404,6B7LDC7N,1,51,30,3,2,31,1,793283,0,0
96670,CODCEUKF,1,30,33,4,1,31,2,2087023,0,0
204240,9G48MHT6,0,46,19,3,2,92,2,1102469,1,0
65969,5FBYEUPH,0,35,34,3,2,14,2,1517984,1,0
153989,MSG4HPWT,0,53,27,3,1,15,2,850172,0,0
15955,LLJQUJRF,0,28,27,2,1,19,2,1516026,0,0
228040,AGPQXG7H,1,44,9,3,2,86,2,1770601,1,1
96528,5NAZGVCM,1,61,4,4,3,86,1,1486068,0,1
234737,NA8TLA6X,1,42,18,4,3,75,0,1220457,0,0
86950,KB79ZA4U,1,50,23,3,3,110,2,576177,1,0
80,EJQSWB3E,0,82,18,4,2,87,2,825475,1,0
240558,SS86BPTO,0,25,24,2,1,13,2,767269,0,0
225202,CHMU2MKC,0,29,2,2,1,27,2,315869,0,0
207804,DBAU9YM6,1,47,18,3,3,74,1,794485,1,1
120661,URYVVMBG,1,28,14,2,1,19,1,865017,0,1
227749,9BRJOHCH,0,47,34,1,2,51,1,989217,0,0
170941,U6FM4DFD,0,31,20,2,1,14,2,255964,0,0
175435,A5A63SWK,1,59,18,3,3,121,1,947494,0,0
21201,YQ3ETS7A,1,54,20,3,1,19,1,483848,0,0
65443,68JTZGI6,1,44,34,3,2,55,1,913104,1,0
1731,F4YVNAEF,0,28,29,3,1,25,2,401639,0,0
140498,ZLYTZPPP,0,85,33,4,3,86,0,1614246,0,1
136338,FSV3TM46,1,35,23,2,1,19,2,551363,0,0
206573,NZZHBD6S,1,30,24,4,1,20,2,479799,0,0
97970,F7ASYAZW,1,60,34,2,3,85,0,1157453,0,1
160913,BLMAZCKX,0,54,18,3,3,79,1,1118774,0,0
169818,U9Z5X872,1,31,4,4,1,25,2,1172308,1,0
19344,PLUYKWTW,0,29,11,4,1,32,2,514055,0,0
148883,GQA8EHTM,0,54,27,3,3,91,2,1348465,0,1
213347,DTC6NVJK,0,28,5,4,1,20,2,378614,0,0
231080,UCDLAXJG,1,59,33,4,1,63,0,492428,0,1
93963,5PWSKG3V,1,59,4,3,3,122,0,1109064,1,1
229478,7UCVGM33,0,31,33,2,1,14,2,634756,1,0
81179,6JO62CL6,1,57,18,2,2,97,1,289677,1,1
230537,2ARAALVM,0,28,19,4,1,15,2,713966,0,0
187369,TPEZXUUP,0,52,27,3,3,93,2,1182160,1,0
139728,BMEHMLLR,1,30,4,2,1,31,2,613325,0,0
177850,BUBTR7SH,0,26,4,2,1,14,2,712765,0,0
110989,ZNNFKUBP,1,61,33,3,2,26,1,1387305,0,0
47980,T2GBZPKJ,0,33,7,2,1,25,2,474423,0,0
161239,Q8CBC6P9,0,42,1,3,3,39,2,330786,1,0
215990,NBPQGAFX,1,55,22,3,2,61,2,827201,1,0
76043,ULBFNJVU,1,51,34,3,3,49,2,2362763,1,0
100033,TJAE8N2K,1,69,22,4,3,45,2,951392,1,0
60090,BOEFT2XG,0,31,8,2,1,21,1,229869,0,0
165816,LJC4O2J9,0,37,33,4,2,39,2,4146456,0,0
25606,NT8MQLCC,0,33,27,2,1,19,2,896728,0,0
227787,WFHAKRTG,0,25,2,3,1,14,2,1974384,1,0
124497,EE4XWFKG,0,67,19,4,1,20,1,1311646,0,0
136457,TD7ZCFUQ,0,54,33,3,3,57,2,507415,0,0
108403,GDC6ST8P,0,45,31,3,3,56,2,247731,0,0
84673,LMOFXCST,1,34,33,2,2,33,0,2932238,1,1
2281,8UAAKQBR,1,78,18,4,2,43,1,1782242,1,1
66000,66ZC4A52,0,60,3,3,3,103,1,1062722,0,0
218286,PPGTHDHM,0,47,27,3,2,31,2,637346,1,0
74136,HPPZZDXK,1,53,34,3,2,73,2,519751,0,1
133595,ZAKCNZ7V,1,38,20,2,1,20,2,314454,0,0
25077,NK4E44BX,0,42,4,3,2,57,2,783066,1,0
124575,GGXT6YRX,1,43,4,3,2,26,0,1219389,0,1
104346,KCJWQ9XY,1,35,4,4,2,21,1,1066593,1,0
675,DULNDJT2,1,46,3,3,2,110,0,937348,1,1
196325,JCI9KZOY,0,43,18,1,3,92,0,1565883,1,0
180351,7OH5CX58,0,27,6,2,1,26,1,1486273,1,1
6673,HTCKUHXY,0,25,20,2,1,19,2,1082693,1,0
120198,NJM2NM2M,0,34,25,2,1,32,2,900110,0,0
209187,KGELNFN9,1,47,11,3,2,38,1,1231145,0,0
236684,MIQL6PVY,1,44,33,3,3,49,2,1422228,1,0
181362,KIZVAYBX,1,58,34,2,3,99,1,1737796,1,1
12139,GLHYWCZJ,1,58,34,3,3,105,0,3153982,1,1
139277,O8N7RVHD,1,33,33,2,3,14,2,4176876,0,0
236065,QG68QO3T,0,26,16,2,1,15,1,579158,0,0
159887,HH2XWNJ3,1,74,34,4,2,93,2,1619702,0,0
83597,GIXKAU9S,0,34,4,2,1,19,2,4247320,0,0
19974,E5RIPSQ4,0,32,33,4,1,31,1,814581,0,0
86154,NDJAVTLP,1,33,32,4,1,25,2,508314,0,0
2177,HHE7JEJS,1,34,5,2,1,32,2,971070,0,1
59130,7UMO5F4Q,1,64,4,4,2,98,2,2172427,1,0
188758,4YWIEXBY,1,40,23,3,2,21,2,909882,1,0
10190,MSD4UPFU,0,57,34,3,1,32,2,925217,0,0
99237,8JWD7QWQ,1,25,25,4,1,19,1,633858,1,1
60416,HDEUBMA4,1,45,23,3,3,91,2,220346,1,0
9922,FE7RQMSJ,1,53,4,4,2,103,1,422865,0,0
121414,LC3DZRNY,1,65,11,4,2,27,2,849051,1,0
101052,XUTW9RCM,0,53,14,3,1,33,2,786065,0,0
22386,BXYXCHK3,1,71,34,4,3,93,0,4126262,1,1
165033,S8FB9TAZ,1,28,30,4,1,20,2,1503512,1,0
94504,HIR6Z77M,1,26,9,2,1,26,2,494047,0,0
101372,GGVWEJQP,1,29,18,2,1,26,2,1630141,0,0
161936,A7GHTDGZ,1,31,4,4,1,26,2,988638,0,0
115580,WRWFJXEM,0,31,32,2,1,15,2,562408,0,0
228369,H8RLRVY8,1,46,30,3,3,57,2,490639,1,0
93343,KOPSC7JK,1,29,34,4,1,20,2,1696473,1,0
170274,BMMDRNAW,0,38,8,3,1,27,2,234701,0,0
193921,W497VYTC,1,54,18,3,3,111,1,1835010,1,1
120747,DDWAJA4X,0,82,27,4,3,110,2,869129,1,0
137559,MD4JWDUR,0,36,14,4,1,21,2,1006305,0,0
114517,WSRSCEP2,0,50,33,3,2,37,2,869360,1,0
94435,4VXMLGQX,1,42,4,3,4,8,2,630983,1,0
49652,BUXFAILF,0,61,18,3,3,91,0,1238702,0,1
200279,3PESASQC,1,28,18,4,1,20,2,617223,1,0
204160,EJS9HCSU,1,51,33,3,2,49,2,1279001,0,0
164486,DWZX5A7E,1,49,19,3,2,93,0,1088292,0,1
57136,FNMHHYH8,1,47,18,4,3,20,0,842963,0,1
232551,XBFPP6AY,0,26,30,2,1,13,2,928581,1,0
182707,K9TUSRVA,1,51,33,3,3,81,2,1424275,1,1
18358,6VQHUP3M,1,48,32,3,2,56,2,995242,1,0
106676,LGHCUFMM,0,48,18,3,2,37,2,2358259,1,0
191351,C5N5M5XJ,0,49,27,3,2,62,0,812320,1,1
117448,8CY25PCS,1,30,7,2,1,31,2,1000208,0,0
132534,BGGRCRNV,1,66,7,4,3,121,2,1213434,1,0
84697,HDFUKCWC,1,69,4,4,3,128,2,682701,0,0
235154,A3QRYT9T,0,28,2,3,1,27,1,347367,0,0
174333,TS8C5BCZ,0,31,14,2,1,32,1,263137,0,0
171605,BJ8KZPHW,0,31,13,3,1,19,2,3208352,0,1
149153,2EDDMICU,1,27,32,2,1,26,1,830396,0,1
196806,GSEXCAQS,0,27,6,2,1,25,2,372527,0,0
20411,7A9WWFUK,1,43,5,3,3,32,1,839643,0,0
144298,W6HNNG2H,1,69,4,4,1,25,1,5037845,0,0
18278,YYM4V6PX,0,48,27,3,2,15,1,439268,0,0
218803,QPMCFPQS,0,60,32,4,3,92,1,1557660,1,0
153892,ASHBP8ML,0,56,19,3,2,38,2,394367,1,0
107258,ANQJSX2W,1,65,1,4,3,86,2,367427,1,0
66065,DSKHYNKN,0,50,1,3,4,13,2,545178,1,0
162316,8GLAJGX2,1,52,18,4,1,98,0,723294,0,1
20984,P9BU5TCO,1,31,25,2,1,33,2,1726368,1,0
159611,BVKAQIBE,1,26,20,2,1,13,2,739910,0,0
188591,X4FI2KYH,1,71,18,4,3,86,2,2318236,1,0
65678,Q4VCREYD,1,29,24,2,1,27,2,524325,0,0
77543,IYRAQONX,1,47,18,3,2,56,2,772404,1,0
180786,DQIM5RSY,0,51,27,3,2,14,2,165166,1,0
211841,Z2QE2MZG,1,57,4,3,2,99,2,2077304,1,0
139716,D8YMQ2SH,0,26,32,4,1,15,2,360218,0,0
89906,H4IX7R2E,0,37,16,2,1,33,2,479888,0,0
26388,2QHUNCN7,0,28,34,4,1,21,1,1398554,0,0
234004,BE4NKZHQ,1,62,30,4,2,111,1,1054480,0,0
241482,U7745JTE,0,34,14,2,1,32,1,421495,0,1
120502,CUQBVD3X,0,49,27,3,3,19,1,1558532,0,0
117339,MEYDLAXR,1,61,11,3,3,110,0,784713,0,1
62432,HKK4ICTT,0,34,33,4,2,37,1,1435400,0,0
18986,YFRH2S6X,0,30,13,2,1,21,2,473168,0,0
238031,MQVJADFJ,0,31,31,2,1,20,2,1168267,0,0
214201,N4KYMEYP,1,33,4,2,1,27,2,1370021,0,0
220787,H9KFEMKH,0,46,7,4,2,74,0,565737,0,1
52649,VC5LEDJJ,1,31,30,2,1,15,2,905219,0,0
114434,8IBR3YXO,0,45,18,3,1,21,1,1737315,0,0
50173,HSQ3UVTA,0,38,30,3,1,33,2,1396739,0,0
218551,EDRB5XTE,1,36,22,2,1,14,2,997485,0,0
243427,DF7VGCIY,0,35,27,2,3,19,0,789759,0,1
102244,IWFRWXBG,0,29,19,3,2,27,2,944957,1,0
134440,EEQNI55C,0,34,33,2,4,13,2,3451998,0,0
55952,WOFAWHQ7,0,30,27,3,1,20,2,699780,0,0
232625,2UUG9RUS,1,74,18,4,2,50,2,2830235,0,0
178196,SJKAFNCI,0,43,4,3,2,21,2,760407,1,0
